"","V1","V2","pro_one_cor","branches_one_cor","delt_df1_cor","delt_df2_cor","score"
"30","Prdm12","Dlx2",0.83131338077286,-0.984650405071888,0.807795684263223,0.246292044811406,0.717512878729844
"29","Prdm12","Mef2c",0.935764382371321,-0.833926211791964,0.779429498280646,0.258755990834042,0.701969020819493
"89","Neurog2","Mef2c",0.850939275995589,-0.898680012506182,0.470295632489287,0.533848822258621,0.68844093581242
"64","Heyl","Meox1",0.740778675849617,-0.520858536065706,0.977631491929043,0.471443190714828,0.677677973639799
"82","Neurog2","Sox8",0.887176895536425,-0.476809499182338,0.915588150694571,0.408583868253199,0.672039603416633
"75","Heyl","Dlx2",0.747561667929934,-0.739544197291177,0.52654132793782,0.63743271106022,0.662769976054788
"93","Pou4f1","Ets1",0.75292397712761,-0.577636051928668,0.485140561811094,0.372901395420252,0.547150496571906
"92","Pou4f1","Sox9",0.818591357833348,-0.00554032188871367,0.46111005628593,0.791373562225052,0.519153824558261
"69","Heyl","Alx1",0.674899959038004,-0.777058112288918,0.197755726093819,0.270272032581242,0.479996457500496
"138","Neurod4","Ets1",0.435963981230786,-0.662966602818389,0.193490111749996,0.612333594309105,0.476188572527069
"137","Neurod4","Sox9",0.496985709866712,-0.322183188630075,0.123510702264018,0.933745262509018,0.469106215817456
"3","Neurog1","Ets1",0.263871190275665,-0.681160633696002,0.206983120115272,0.567712668780397,0.429931903216834
"123","Neurod1","Ets1",0.385456900650532,-0.624987416695423,0.169606760712587,0.51320271110532,0.423313447290966
"122","Neurod1","Sox9",0.433104183353168,-0.310473482837063,0.106014943772039,0.805753956351645,0.413836641578479
"10","Neurog1","Sox10",0.25639842632394,-0.380529969314753,0.287351202096543,0.549336524401987,0.368404030534306
"104","Pou4f1","Mef2c",0.352303154913947,-0.977862098940358,0.0439970844727566,0.0581326559583683,0.358073748571357
"2","Neurog1","Sox9",0.259226896963203,-0.326243333166555,0.133378236679615,0.450420277131816,0.292317185985297
"149","Neurod4","Mef2c",0.101215843893325,-0.683722679517429,0.0180227324620017,0.36215546443904,0.291279180077949
"130","Neurod1","Sox10",0.294309833370668,-0.362838161283988,0.239134252786271,0.202796986070582,0.274769808377877
"145","Neurod4","Sox10",0.317170879765882,-0.376531425956952,0.269471934321648,0.0950370093014275,0.264552812336477
"14","Neurog1","Mef2c",0.127667693295213,-0.711578831051641,0.0325700721623852,0.0506531467417608,0.23061743581275
