"","V1","V2","pro_one_cor","branches_one_cor","delt_df1_cor","delt_df2_cor","score"
"11","Junb","Zfp791",0.936031182458275,-0.91627226375597,0.731783836747448,0.98869249275069,0.893194943928096
"4","Zbtb8a","Nfe2",0.975145923122236,-0.98339518784054,0.605772617398117,0.985610691003747,0.88748110484116
"13","Junb","Bhlhe40",0.961929837898826,-0.882733010453831,0.747298632005824,0.858656950631233,0.862654607747429
"12","Junb","Nr1h4",0.960250763487422,-0.989262504428883,0.815589024921219,0.491488140708075,0.8141476083864
"1","Zbtb8a","Zfp791",0.87802761940321,-0.9881268291394,0.741515404401393,0.607016147088254,0.803671500008064
"3","Zbtb8a","Bhlhe40",0.852479545277027,-0.990621114701424,0.713440690625772,0.402377079296519,0.739729607475186
"9","Atf3","Nfe2",0.599924026085613,-0.986451949791915,0.390791165711399,0.847493136044276,0.706165069408301
"2","Zbtb8a","Nr1h4",0.701781063363478,-0.913363825375485,0.626282519523329,0.516163697960345,0.689397776555659
"7","Atf3","Nr1h4",0.748386207590465,-0.927840819435623,0.715071307323727,0.360149032665997,0.687861841753953
"21","Ets1","Zfp791",0.473604505085212,-0.939205193157785,0.405804358287815,0.832998609047701,0.662903166394628
"6","Atf3","Zfp791",0.648731448436808,-0.984284239545297,0.703929569533653,0.153167652057778,0.622528227393384
"23","Ets1","Bhlhe40",0.428644416431205,-0.967714877913487,0.517490855850563,0.47836506014424,0.598053802584874
"14","Junb","Nfe2",0.677306130910044,-0.96497126021043,0.152649191610928,0.534134640721698,0.582265305863275
"24","Ets1","Nfe2",0.501523949901585,-0.908886173954736,0.246998153879286,0.604519647058979,0.565481981198647
"22","Ets1","Nr1h4",0.281775066369772,-0.801587885316151,0.457998813348358,0.676249755694027,0.554402880182077
"5","Zbtb8a","Zfp653",0.331147668843245,-0.834690705488525,0.328928233006259,0.468535551298914,0.490825539659236
"30","Zfp429","Zfp653",0.175339783789545,-0.760295040382024,0.119216814843846,0.771269668414706,0.456530326857531
"17","Relb","Nr1h4",0.120294891305959,-0.922023711997069,0.7092755764667,0.0711667124410886,0.455690223052704
"10","Atf3","Zfp653",0.0167546248366714,-0.856842589122802,0.0811676910776385,0.45579965506712,0.352641140026058
"25","Ets1","Zfp653",0.040665969613763,-0.699052502850769,0.0727767406866409,0.430985103478661,0.310870079157459
